sentence_id,word,label
0,Tráfico,O
0,drogas,O
0,na,O
0,rua,B-LOC
0,José,I-LOC
0,Felipe,I-LOC
0,de,I-LOC
0,Souza,I-LOC
0,bairro,B-LOC
0,ITAMBI,I-LOC
0,CIDADE,B-LOC
0,Itaboraí,I-LOC
0,durante,O
0,dia,O
0,e,O
0,noite,O
0,",",O
0,lembrando,O
0,que,O
0,fica,O
0,2,O
0,ruas,B-LOC
0,do,O
0,Dpo,B-ORG
0,.,O
1,Quero,O
1,relatar,O
1,sobre,O
1,o,O
1,baile,O
1,funk,O
1,no,O
1,bairro,B-LOC
1,Paraíso,I-LOC
1,",",O
1,cidade,B-LOC
1,São,I-LOC
1,Gonçalo,I-LOC
1,na,O
1,região,B-LOC
1,da,O
1,UERJ,B-ORG
1,FFP,I-ORG
1,começa,O
1,no,O
1,início,O
1,da,O
1,madrugada,O
1,de,O
1,quarta-feira,O
1,e,O
1,tem,O
1,ido,O
1,quase,O
1,até,O
1,de,O
1,manhã,O
1,(,O
1,das,O
1,23,O
1,:,O
1,00,O
1,até,O
1,as,O
1,06,O
1,da,O
1,manhã,O
1,),O
1,.,O
1,Desde,O
1,o,O
1,ano,O
1,passado,O
1,acontecia,O
1,seguidamente,O
1,semana,O
1,após,O
1,semana,O
1,atrapalhando,O
1,o,O
1,sono,O
1,de,O
1,todo,O
1,mundo,O
1,!,O
1,Isso,O
1,é,O
1,um,O
1,desrespeito,O
1,",",O
1,com,O
1,quem,O
1,trabalha/estuda,O
1,cedo,O
1,.,O
1,Provavelmente,O
1,é,O
1,promovido,O
1,pelos,O
1,bandidos,B-PER
1,do,O
1,morro,B-LOC
1,do,I-LOC
1,Feijão,I-LOC
1,com,O
1,ligação,O
1,com,O
1,o,O
1,Comando,B-ORG
1,Vermelho,I-ORG
1,.,O
1,Os,O
1,próprios,O
1,bandidos,B-PER
1,divulgam,O
1,a,O
1,filiação,O
1,e,O
1,desafiam,O
1,a,O
1,polícia,B-ORG
1,abertamente,O
1,.,O
2,No,O
2,bangu4,B-LOC
2,nesse,O
2,sábado,O
2,vão,O
2,explodir,O
2,o,O
2,muro,O
2,que,O
2,da,O
2,para,O
2,o,O
2,lixão,B-LOC
2,depois,O
2,das,O
2,visitas,B-PER
2,já,O
2,tem,O
2,muito,O
2,c4,O
2,escondido,O
2,na,O
2,cela,O
2,b2,O
2,e,O
2,b3,O
2,e,O
2,mais,O
2,escondido,O
2,na,O
2,reciclage,O
2,que,O
2,e,O
2,por,O
2,lá,O
2,que,O
2,entra,O
2,.,O
2,quem,O
2,coloca,O
2,no,O
2,muro,O
2,a,O
2,bomba,O
2,e,O
2,o,O
2,funcionário,B-PER
2,da,O
2,reciclage,O
2,que,O
2,recebeu,O
2,500mil,O
2,para,O
2,fazer,O
2,e,O
2,ele,B-PER
2,pode,O
2,chegar,O
2,perto,O
2,do,O
2,muro,O
2,.,O
3,Bom,O
3,dia,O
3,os,O
3,morros,B-LOC
3,chapéu,I-LOC
3,mangueira,I-LOC
3,e,I-LOC
3,babilônia,I-LOC
3,está,O
3,uma,O
3,bagunça,O
3,.,O
3,Duas,O
3,facções,B-ORG
3,estão,O
3,disputando,O
3,território,O
3,todos,O
3,os,O
3,dias,O
3,tem,O
3,tiroteio,O
3,nas,O
3,duas,O
3,comunidade,O
3,.,O
3,No,O
3,morro,B-LOC
3,chapéu,I-LOC
3,mangueira,I-LOC
3,o,O
3,terceiro,B-ORG
3,comando,I-ORG
3,bota,O
3,regras,O
3,na,O
3,comunidade,O
3,upp,B-ORG
3,não,O
3,entra,O
3,eles,B-PER
3,atiram,O
3,na,O
3,polícia,B-ORG
3,meu,O
3,filho,B-PER
3,véu,O
3,me,O
3,visitar,O
3,colocaram,O
3,uma,O
3,pistola,O
3,na,O
3,cabeça,O
3,do,O
3,meu,O
3,filho,B-PER
3,isso,O
3,é,O
3,um,O
3,absurdo,O
3,.,O
3,Na,O
3,babilônia,B-LOC
3,é,O
3,comando,B-ORG
3,vermelho,I-ORG
3,todos,O
3,os,O
3,dia,O
3,também,O
3,tem,O
3,tiros,O
3,.,O
3,Aí,O
3,eu,O
3,pergunto,O
3,para,O
3,que,O
3,serve,O
3,a,O
3,upp,B-ORG
3,?,O
3,Obrigado,O
3,espero,O
3,que,O
3,a,O
3,minha,O
3,denunciar,O
3,seja,O
3,levada,O
3,para,O
3,frente,O
3,na,O
3,aguento,O
3,mais,O
3,essa,O
3,palhaçada,O
3,que,O
3,está,O
3,acontecendo,O
3,nas,O
3,duas,B-LOC
3,comunidade,I-LOC
3,.,O
4,Douglas,B-PER
4,mais,O
4,conhecido,O
4,como,O
4,travesti,B-PER
4,Nicole,I-PER
4,que,O
4,já,O
4,foi,O
4,preso,O
4,por,O
4,envolvimento,O
4,junto,O
