,Entidades,Label
0,moradores,PERSON
1,policia,PERSON
2,molekes,PERSON
3,moradores,PERSON
4,rua 21,LOC
5,engenho do mato,LOC
6,gerente,PERSON
7,muleke,PERSON
8,magrinho,PERSON
9,baixinho,PERSON
10,rua 21,LOC
11,rua bias fortes pessoas,LOC
12,traficantes,PERSON
13,bandidos,PERSON
14,moradores,PERSON
15,moradores,PERSON
16,rua javata,LOC
17,anchieta,LOC
18,policial,PERSON
19,rua javata,LOC
20,rua himalaia,LOC
21,polícia,PERSON
22,adolescentes inocentes,PERSON
23,policiais,PERSON
24,9 bpm,ORG
25,wesley vulgo russinho,PERSON
26,favela do muquiço,LOC
27,travessa santo antónio,LOC
28,marechal hermes,LOC
29,comparsa,PERSON
30,emanuel,PERSON
31,wesley,PERSON
32,formosa,LOC
33,vila zulmira éden,LOC
34,são joão de meriti,LOC
35,rua formosa,LOC
36,rua morrinhos,LOC
37,bandidos,PERSON
38,morro dona marta,LOC
39,policiais,PERSON
40,patrulha,PERSON
41,lages,LOC
42,morador,PERSON
43,comunidade,LOC
44,tião belo,LOC
45,lages,LOC
46,crente,PERSON
47,comunidade,LOC
48,pms,ORG
49,valtam,LOC
50,mesmmo,PERSON
51,vagabundos,PERSON
52,vagabundos,PERSON
53,vagabundos,PERSON
54,mulheres dos vagabundos,PERSON
55,rua meu vizinho,LOC
56,ruan,PERSON
57,pessoas,PERSON
58,rua julio salusse,LOC
59,praça cruzeiro,LOC
60,rio bonito,LOC
61,cruzeiro,ORG
62,pai,PERSON
63,ruan,LOC
64,gatos,PERSON
65,policiais,PERSON
66,militares,PERSON
67,ruan,PERSON
68,milicianos,PERSON
69,comunidade águia de ouro,LOC
70,inhaúma,LOC
71,vagabundo,PERSON
72,comunidade,LOC
73,trem!estou,ORG
74,miliciano,PERSON
75,associação da,ORG
76,comunidade do guarda,LOC
77,segurança do marquinho,PERSON
78,associação do guarda,ORG
79,mulher,PERSON
80,milicia,PERSON
81,comunidade,LOC
82,mulheres,PERSON
83,mototaxi,PERSON
84,mototaxi,PERSON
85,rua 4 jardim bela floresta magé rj,LOC
86,larissa,PERSON
87,moradores,PERSON
88,armados,PERSON
89,ponte da amizade,LOC
90,moradores,PERSON
91,vocás,LOC
92,rua formosa,LOC
93,rua morrinhos,LOC
94,rio sarabui,LOC
95,chatuba,LOC
96,bandido,PERSON
97,olheiro,PERSON
98,rua marechal castelo branco,LOC
99,rua travessa,LOC
100,rato,PERSON
101,chefe,PERSON
102,seguranças,PERSON
103,hb20,ORG
104,punto vermelho,LOC
105,menores,PERSON
