sentence_id,word,label
0,rua,B-LOC
0,José,I-LOC
0,Felipe,I-LOC
0,de,I-LOC
0,Souza,I-LOC
0,bairro,B-LOC
0,ITAMBI,I-LOC
0,CIDADE,B-LOC
0,Itaboraí,I-LOC
0,ruas,B-LOC
0,Dpo,B-ORG
1,bairro,B-LOC
1,Paraíso,I-LOC
1,cidade,B-LOC
1,São,I-LOC
1,Gonçalo,I-LOC
1,região,B-LOC
1,UERJ,B-ORG
1,FFP,I-ORG
1,bandidos,B-PER
1,morro,B-LOC
1,do,I-LOC
1,Feijão,I-LOC
1,Comando,B-ORG
1,Vermelho,I-ORG
1,bandidos,B-PER
1,polícia,B-ORG
2,bangu4,B-LOC
2,lixão,B-LOC
2,visitas,B-PER
2,funcionário,B-PER
2,ele,B-PER
3,morros,B-LOC
3,chapéu,I-LOC
3,mangueira,I-LOC
3,e,I-LOC
3,babilônia,I-LOC
3,facções,B-ORG
3,morro,B-LOC
3,chapéu,I-LOC
3,mangueira,I-LOC
3,terceiro,B-ORG
3,comando,I-ORG
3,upp,B-ORG
3,eles,B-PER
3,polícia,B-ORG
3,filho,B-PER
3,filho,B-PER
3,babilônia,B-LOC
3,comando,B-ORG
3,vermelho,I-ORG
3,upp,B-ORG
3,duas,B-LOC
3,comunidade,I-LOC
4,Douglas,B-PER
4,travesti,B-PER
4,Nicole,I-PER
4,ex,B-PER
4,companheiro,I-PER
4,policial,B-PER
4,bairro,B-LOC
4,do,I-LOC
4,vasco,I-LOC
4,belford,B-LOC
4,roxo,I-LOC
4,rua,B-LOC
4,impala,I-LOC
4,",",I-LOC
4,número,I-LOC
4,5,I-LOC
4,bairro,B-LOC
4,de,I-LOC
4,parque,I-LOC
4,amorim,I-LOC
4,belford,B-LOC
4,roxo,I-LOC
4,garotos,B-PER
4,residência,B-LOC
4,crianças,B-PER
4,Quinta,B-LOC
4,da,I-LOC
4,boa,I-LOC
4,vista,I-LOC
4,madureira,B-LOC
4,lapa,B-LOC
4,duque,B-LOC
4,de,I-LOC
4,caxias,I-LOC
