Entity,Label
Bandidos,PERSON
armados,OBJECT
com,OBJECT
motos,OBJECT
e,OBJECT
carros,OBJECT
roubados,OBJECT
estão,OBJECT
nesse,OBJECT
azar,OBJECT
o,OBJECT
momento,OBJECT
na,OBJECT
Rua,OBJECT
30,OBJECT
esquina,OBJECT
com,OBJECT
Rua,OBJECT
Tiradentes,OBJECT
no,OBJECT
bairro,LOCATION
ampliação,OBJECT
Itaborai,LOCATION
com,OBJECT
som,OBJECT
alto,OBJECT
e,OBJECT
consumido,OBJECT
ddroga,OBJECT
.,OBJECT
uando,OBJECT
a,OBJECT
polícia,ORGANIZATION
passa,OBJECT
pelo,OBJECT
local,LOCATION
eles,OBJECT
são,OBJECT
avisados,OBJECT
pelos,OBJECT
menores,PERSON
que,OBJECT
portam,OBJECT
radinho,OBJECT
.,OBJECT
muitas,OBJECT
das,OBJECT
vezes,OBJECT
eles,OBJECT
correm,OBJECT
para,OBJECT
casa,LOCATION
as,OBJECT
que,OBJECT
estão,OBJECT
vazias,OBJECT
como,OBJECT
na,OBJECT
casa,LOCATION
de,OBJECT
número,OBJECT
24,OBJECT
na,OBJECT
quadra,OBJECT
191,OBJECT
na,OBJECT
rua,LOCATION
Tiradentes,OBJECT
no,OBJECT
bairro,LOCATION
ampliação,OBJECT
em,OBJECT
Itaborai,LOCATION
Meliantes,PERSON
estão,OBJECT
vendendo,OBJECT
drogas,OBJECT
",",OBJECT
ameaçando,OBJECT
moradores,PERSON
com,OBJECT
arma,OBJECT
de,OBJECT
fogo,OBJECT
e,OBJECT
roubando,OBJECT
veículos,OBJECT
de,OBJECT
entrega,OBJECT
.,OBJECT
03185986671962,OBJECT
esse,OBJECT
número,OBJECT
me,OBJECT
ligou,OBJECT
dizendo,OBJECT
que,OBJECT
era,OBJECT
da,OBJECT
Oi,ORGANIZATION
",",OBJECT
tentou,OBJECT
me,OBJECT
empurrar,OBJECT
uma,OBJECT
promoção,OBJECT
",",OBJECT
disse,OBJECT
que,OBJECT
não,OBJECT
era,OBJECT
responsável,PERSON
pela,OBJECT
linha,OBJECT
",",OBJECT
o,OBJECT
cara,PERSON
perguntou,OBJECT
se,OBJECT
era,OBJECT
de,OBJECT
menor,OBJECT
eu,OBJECT
disse,OBJECT
que,OBJECT
sim,OBJECT
pois,OBJECT
não,OBJECT
queria,OBJECT
que,OBJECT
me,OBJECT
empurrasse,OBJECT
mas,OBJECT
nada,OBJECT
",",OBJECT
então,OBJECT
ele,OBJECT
perguntou,OBJECT
se,OBJECT
eu,OBJECT
estava,OBJECT
sozinha,OBJECT
e,OBJECT
respondi,OBJECT
que,OBJECT
o,OBJECT
responsável,PERSON
não,OBJECT
estava,OBJECT
dai,OBJECT
o,OBJECT
cara,PERSON
disse,OBJECT
:,OBJECT
Hmm,OBJECT
sozinha,OBJECT
",",OBJECT
deve,OBJECT
fazer,OBJECT
um,OBJECT
amor,OBJECT
gostoso,OBJECT
!,OBJECT
!,OBJECT
Disse,OBJECT
q,OBJECT
o,OBJECT
denunciaria,OBJECT
ele,OBJECT
disse,OBJECT
que,OBJECT
poderia,OBJECT
denunciar,OBJECT
",",OBJECT
não,OBJECT
gravei,OBJECT
a,OBJECT
ligação,OBJECT
",",OBJECT
como,OBJECT
proceder,OBJECT
?,OBJECT
Tráfico,OBJECT
intenso,OBJECT
no,OBJECT
morro,LOCATION
da,OBJECT
palmeira,OBJECT
ou,OBJECT
conhecido,OBJECT
como,OBJECT
bairro,LOCATION
sublime,OBJECT
",",OBJECT
no,OBJECT
centro,LOCATION
de,OBJECT
Belford,OBJECT
roxo,OBJECT
",",OBJECT
dominado,OBJECT
pelo,OBJECT
TCP,ORGANIZATION
",",OBJECT
a,OBJECT
boca,OBJECT
se,OBJECT
localiza,OBJECT
na,OBJECT
esquina,LOCATION
dá,OBJECT
rua,LOCATION
meuquiades,OBJECT
com,OBJECT
a,OBJECT
rua,LOCATION
Alfredo,PERSON
",",OBJECT
é,OBJECT
um,OBJECT
sobe,OBJECT
e,OBJECT
desce,OBJECT
de,OBJECT
carros,OBJECT
",",OBJECT
motos,OBJECT
e,OBJECT
viciados,OBJECT
o,OBJECT
dia,OBJECT
todo,OBJECT
",",OBJECT
todas,OBJECT
as,OBJECT
ruas,LOCATION
q,OBJECT
dão,OBJECT
acesso,OBJECT
são,OBJECT
monitoradas,OBJECT
por,OBJECT
um,OBJECT
olheiro,OBJECT
com,OBJECT
rádio,OBJECT
transmisdor,OBJECT
são,OBJECT
elas,OBJECT
:,OBJECT
ruas,LOCATION
Antônio,OBJECT
Antônia,OBJECT
",",OBJECT
Alfredo,PERSON
",",OBJECT
",",OBJECT
Henrique,OBJECT
Dias,OBJECT
",",OBJECT
e,OBJECT
Eliza,PERSON
Gonçalves,OBJECT
",",OBJECT
bandidos,PERSON
de,OBJECT
pistola,OBJECT
e,OBJECT
fuzil,OBJECT
circulam,OBJECT
num,OBJECT
carro,OBJECT
Prisma,OBJECT
branco,OBJECT
",",OBJECT
placa,OBJECT
kwk8970,OBJECT
roubado,OBJECT
",",OBJECT
policiais,PERSON
do,OBJECT
39,OBJECT
BPM,OBJECT
",",OBJECT
especialmente,OBJECT
os,OBJECT
do,OBJECT
GAT,ORGANIZATION
",",OBJECT
só,OBJECT
vem,OBJECT
buscar,OBJECT
a,OBJECT
propina,OBJECT
",",OBJECT
valores,OBJECT
de,OBJECT
5,OBJECT
a,OBJECT
10,OBJECT
mil,OBJECT
reais,OBJECT
pagos,OBJECT
semanalmente,OBJECT
",",OBJECT
Dimas,PERSON
e,OBJECT
contador,PERSON
dá,OBJECT
quadrilha,PERSON
responsável,OBJECT
pelos,OBJECT
pagamentos,OBJECT
",",OBJECT
tem,OBJECT
um,OBJECT
eco,OBJECT
Sport,OBJECT
preto,OBJECT
e,OBJECT
ostenta,OBJECT
vida,OBJECT
de,OBJECT
luxo,OBJECT
e,OBJECT
cunhado,OBJECT
do,OBJECT
traficante,PERSON
mexicano,OBJECT
que,OBJECT
está,OBJECT
preso,OBJECT
",",OBJECT
reside,OBJECT
na,OBJECT
rua,LOCATION
Meuquiades,OBJECT
n6,OBJECT
",",OBJECT
casa,LOCATION
de,OBJECT
pedra,OBJECT
com,OBJECT
portão,OBJECT
de,OBJECT
alumínio,OBJECT
",",OBJECT
periquito,PERSON
e,OBJECT
Ere,OBJECT
residem,OBJECT
na,OBJECT
rua,LOCATION
Meuquiades,OBJECT
n49,OBJECT
",",OBJECT
periquito,PERSON
e,OBJECT
foragido,OBJECT
do,OBJECT
sistema,OBJECT
prisional,OBJECT
Bailes,OBJECT
funk,OBJECT
regados,OBJECT
a,OBJECT
droga,OBJECT
e,OBJECT
álcool,OBJECT
incomodam,OBJECT
moradores,PERSON
",",OBJECT
bandidos,PERSON
colocaram,OBJECT
quebram,OBJECT
olas,OBJECT
nas,OBJECT
ruas,LOCATION
Alfredo,OBJECT
é,OBJECT
Antônio,PERSON
p,OBJECT
impedir,OBJECT
a,OBJECT
entrada,OBJECT
dá,OBJECT
polícia,ORGANIZATION
.,OBJECT
Todos,OBJECT
os,OBJECT
sábados,OBJECT
tem,OBJECT
um,OBJECT
baile,OBJECT
dado,OBJECT
pela,OBJECT
milícia,PERSON
em,OBJECT
Nova,OBJECT
Iguaçu,OBJECT
",",OBJECT
km,OBJECT
39,OBJECT
bairro,LOCATION
Todos,OBJECT
os,OBJECT
Santos,OBJECT
.,OBJECT
Droga,PERSON
liberado,OBJECT
e,OBJECT
homens,PERSON
fortemente,OBJECT
armados,OBJECT
.,OBJECT
O,OBJECT
local,LOCATION
como,OBJECT
é,OBJECT
calmo,OBJECT
virou,OBJECT
redutos,OBJECT
deles,OBJECT
",",OBJECT
algumas,OBJECT
casas,LOCATION
no,OBJECT
bairro,LOCATION
são,OBJECT
feitos,OBJECT
de,OBJECT
base,OBJECT
",",OBJECT
e,OBJECT
um,OBJECT
bar,LOCATION
na,OBJECT
praça,LOCATION
também,OBJECT
é,OBJECT
administrado,OBJECT
por,OBJECT
eles,OBJECT
.,OBJECT
porte,OBJECT
ilegal,OBJECT
de,OBJECT
arma,OBJECT
.,OBJECT
No,OBJECT
dia,OBJECT
01,OBJECT
/,OBJECT
11,OBJECT
+,OBJECT
ou,OBJECT
-,OBJECT
23h,OBJECT
:,OBJECT
40m,OBJECT
um,OBJECT
rapaz,PERSON
chamado,OBJECT
Vanderson,PERSON
Pereira,OBJECT
",",OBJECT
conhecido,OBJECT
como,OBJECT
Vandinho,PERSON
deu,OBJECT
um,OBJECT
tiro,OBJECT
a,OBJECT
queima,OBJECT
roupa,OBJECT
em,OBJECT
um,OBJECT
rapaz,PERSON
chamado,OBJECT
Rafael,OBJECT
Marcelino,OBJECT
",",OBJECT
O,OBJECT
tal,OBJECT
do,OBJECT
Vanderson,PERSON
é,OBJECT
filho,PERSON
de,OBJECT
um,OBJECT
miliciano,PERSON
chamado,OBJECT
